# X 	 Y 	 E 	 DX
0.00433936	23.8194	4.26927	0.000562158
0.00458498	22.952	1.98807	0.000571898
0.00484449	23.3107	1.37659	0.000584145
0.0051187	22.6545	1.01848	0.000596623
0.00540842	23.758	0.859501	0.000605924
0.00571455	22.0866	0.606994	0.000604293
0.006038	22.2758	0.504194	0.000600856
0.00637976	21.3896	0.414279	0.000605143
0.00674086	21.422	0.364234	0.000613508
0.0071224	21.8716	0.329496	0.000618577
0.00752554	22.2015	0.296409	0.000619184
0.0079515	22.6237	0.28207	0.000619303
0.00840157	22.3523	0.27187	0.000618717
0.00887711	22.3117	0.252297	0.000619942
0.00937956	22.272	0.235194	0.000621359
0.00991046	21.8685	0.223563	0.000619637
0.0104714	21.8621	0.208933	0.000620348
0.0110641	21.7747	0.198122	0.000621106
0.0116903	21.8836	0.187052	0.000620762
0.012352	21.855	0.178467	0.000621826
0.0130512	21.7756	0.166329	0.000622153
0.0137899	21.4376	0.157404	0.000622589
0.0145704	21.196	0.14608	0.000622589
0.0153951	20.9828	0.137644	0.000623051
0.0162665	20.9237	0.129628	0.000623633
0.0171872	20.5886	0.121324	0.000624255
0.01816	20.5108	0.114064	0.000625362
0.0191879	20.2538	0.107368	0.000626101
0.020274	19.9991	0.100545	0.000627095
0.0214215	19.568	0.093444	0.000628247
0.022634	19.1784	0.0877759	0.000629657
0.0239151	18.7686	0.0819692	0.000630778
0.0252688	18.3808	0.0764242	0.00063209
0.026699	17.7162	0.0707723	0.000633875
0.0282102	17.0434	0.06558	0.000635739
0.0298069	16.3	0.060241	0.000637581
0.0307214	15.7344	0.0166451	0.00165508
0.0314941	15.4278	0.0548236	0.000639188
0.0326077	14.7848	0.0150162	0.00166157
0.0332767	14.6284	0.0500249	0.000640957
0.0346098	13.8159	0.0136654	0.00166589
0.0351602	13.6492	0.0449425	0.000643505
0.0367348	12.7507	0.0122787	0.00166877
0.0371503	12.6951	0.0404889	0.000646776
0.0389903	11.6453	0.011042	0.00167317
0.039253	11.6021	0.035942	0.000650371
0.0413843	10.4557	0.00978993	0.00168085
0.0414748	10.4403	0.0317718	0.000654249
0.0438223	9.32814	0.0279413	0.000658356
0.0439252	9.31083	0.00867639	0.00168582
0.0463028	8.20962	0.0244215	0.000662542
0.0466222	8.12432	0.00762703	0.00169331
0.0489236	7.14898	0.0212611	0.000667181
0.0494848	6.965	0.00658748	0.00170288
0.0516927	6.12409	0.0183594	0.00067266
0.0525231	5.89342	0.00575163	0.0017133
0.0546186	5.14921	0.015715	0.000678803
0.055748	4.86496	0.00488611	0.0017244
0.0577101	4.28787	0.0134082	0.000685772
0.0591709	3.94904	0.00417797	0.00173578
0.062804	3.13847	0.00352137	0.00174997
0.0666601	2.45052	0.00297247	0.00176481
0.070753	1.87963	0.0024703	0.00177895
0.0750972	1.42485	0.00207519	0.0017932
0.0797081	1.07568	0.00174088	0.00181053
0.0846021	0.822848	0.00147473	0.00182954
0.0897966	0.640902	0.00127261	0.00185035
0.0953101	0.513625	0.00111099	0.00187342
0.101162	0.429103	0.000991472	0.00189938
0.107373	0.373399	0.000897082	0.00192971
0.113966	0.331821	0.000817594	0.00196321
0.120963	0.299567	0.000749544	0.00200059
0.128391	0.272464	0.000688689	0.00204271
0.136274	0.247472	0.00063347	0.00209301
0.144641	0.2233	0.000587247	0.00215531
0.153522	0.203321	0.00055492	0.00223051
0.162948	0.182739	0.000539939	0.00231753
0.172953	0.167292	0.000545025	0.0024129
0.183572	0.15265	0.00057537	0.00251531
0.194843	0.140845	0.000668516	0.00262379
0.206806	0.129518	0.00109092	0.00273438
0.219504	0.119625	0.00189826	0.00284154
0.232981	0.112466	0.00231701	0.00294273
0.247286	0.108589	0.00231479	0.00303796
0.26247	0.0968395	0.00219087	0.00312855
0.278585	0.100323	0.00437456	0.00321582
0.29569	0.0809334	0.00299822	0.00330197
0.313845	0.0744936	0.00568232	0.00338889
0.333115	0.0628661	0.00779792	0.00347851
0.353568	0.0676783	0.00296719	0.00357294
0.375277	0.0691796	0.00331834	0.00367317
0.398319	0.0936786	0.0189445	0.00377568
0.422775	0.0850219	0.014252	0.00387482
0.448734	0.0687622	0.01829	0.00196152
